Tasa_Interes,Saldo_Soles,Edad,Estado_Civil,Region,CrossSelling,Ration_Ant,Fuga
4.16,1079.32,53,Cas_Conv,LIMA_CALLAO,1,0.45,0
4.16,562.16,22,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,8309.18,36,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.88,1228.39,41,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,6025.61,36,Div_Sol_Viu,NORTE_SUR,1,0.65,0
4.16,22571.37,42,Div_Sol_Viu,LIMA_CALLAO,1,0.49,0
4.16,5107.07,37,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,3163.37,29,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,593.14,42,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,9837.02,36,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,9562.82,43,Div_Sol_Viu,LIMA_CALLAO,1,0.96,0
4.16,10521.85,58,Cas_Conv,LIMA_CALLAO,2,0.96,0
4.16,4022.15,34,Div_Sol_Viu,LIMA_CALLAO,1,0.4,0
4.16,5852.54,31,Div_Sol_Viu,LIMA_CALLAO,2,0.83,0
4.88,1492.15,27,Div_Sol_Viu,LIMA_CALLAO,3,0.27,0
4.16,18898.73,53,Cas_Conv,LIMA_CALLAO,2,0.6,0
4.16,18203.04,44,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,2359.92,65,Div_Sol_Viu,NORTE_SUR,1,0.41,0
4.16,6147.73,60,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4843.67,30,Div_Sol_Viu,LIMA_CALLAO,2,0.93,0
4.16,2636.68,59,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4916.05,40,Div_Sol_Viu,NORTE_SUR,3,0.85,0
4.16,28759.89,64,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,1858.73,28,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,5795.17,34,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,5717.23,43,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,4194.29,47,Div_Sol_Viu,NORTE_SUR,3,0.95,0
4.88,1328.03,55,Cas_Conv,LIMA_CALLAO,2,0.04,0
4.16,6735.5,34,Div_Sol_Viu,LIMA_CALLAO,1,0.89,0
4.16,1531.55,63,Cas_Conv,LIMA_CALLAO,3,0.77,0
4.16,2492.76,58,Cas_Conv,NORTE_SUR,2,0.88,0
4.16,3301.88,63,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,4184.16,38,Div_Sol_Viu,LIMA_CALLAO,2,0.34,0
4.88,1417.19,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,3213.21,50,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,2415.47,43,Cas_Conv,LIMA_CALLAO,2,0.48,0
4.16,1420.56,45,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,3001.8,26,Div_Sol_Viu,LIMA_CALLAO,2,0.67,0
4.16,5861.55,35,Div_Sol_Viu,NORTE_SUR,2,0.69,0
4.88,1201.5,33,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,9162,57,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,10808.92,45,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,9783.39,43,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,9119.19,25,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,3359.32,40,Div_Sol_Viu,LIMA_CALLAO,2,0.48,0
4.88,676.56,31,Cas_Conv,CENTRO,2,0.77,0
4.16,2771.21,45,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,3808.69,50,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1036.07,24,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,758.69,52,Cas_Conv,NORTE_SUR,1,0.2,0
4.16,25692.84,44,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,551.31,24,Div_Sol_Viu,LIMA_CALLAO,2,0.88,0
4.16,8871.02,45,Cas_Conv,NORTE_SUR,5,0.92,0
4.16,3016.87,30,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,2650.3,42,Div_Sol_Viu,NORTE_SUR,2,0.24,0
4.88,1544.65,51,Cas_Conv,LIMA_CALLAO,4,0.77,0
4.16,11786.2,56,Div_Sol_Viu,LIMA_CALLAO,3,1,0
4.16,5103.85,63,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,5392.76,53,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,2588.46,25,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2323.65,54,Div_Sol_Viu,LIMA_CALLAO,1,0.99,0
4.16,5896.8,50,Div_Sol_Viu,LIMA_CALLAO,3,0.5,0
4.16,4732.92,34,Cas_Conv,NORTE_SUR,3,0.99,0
4.88,1827.04,32,Div_Sol_Viu,LIMA_CALLAO,2,0.88,0
4.16,1292.66,41,Div_Sol_Viu,NORTE_SUR,2,0.44,0
4.16,8082.93,51,Div_Sol_Viu,LIMA_CALLAO,1,0.3,0
4.16,4544.74,46,Div_Sol_Viu,LIMA_CALLAO,2,0.16,0
4.16,5373.67,30,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,11829.3,64,Cas_Conv,NORTE_SUR,1,1,0
4.88,1853.88,26,Div_Sol_Viu,NORTE_SUR,2,0.35,0
4.16,8477.62,30,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,7063.01,37,Cas_Conv,LIMA_CALLAO,3,1,0
4.88,3211.83,42,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4689.18,28,Div_Sol_Viu,LIMA_CALLAO,1,0.97,0
4.16,11101.81,36,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,5621.87,64,Cas_Conv,NORTE_SUR,1,1,0
4.16,6948.34,27,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,16848.85,56,Cas_Conv,LIMA_CALLAO,2,1,0
4.16,2959.64,56,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,16339.8,49,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,14091.45,38,Div_Sol_Viu,LIMA_CALLAO,2,0.6,0
4.16,10318.2,56,Div_Sol_Viu,LIMA_CALLAO,3,0.53,0
4.16,1516.62,47,Div_Sol_Viu,LIMA_CALLAO,1,0.22,0
4.88,1790.74,23,Div_Sol_Viu,LIMA_CALLAO,2,0.77,0
4.16,13936.95,52,Cas_Conv,LIMA_CALLAO,3,0.54,0
4.16,8292.69,25,Div_Sol_Viu,LIMA_CALLAO,2,0.92,0
4.88,4154.98,33,Div_Sol_Viu,NORTE_SUR,3,0.16,0
4.16,23405,40,Cas_Conv,LIMA_CALLAO,3,0.31,0
4.16,793.95,46,Cas_Conv,LIMA_CALLAO,2,0.97,0
4.88,4427.99,37,Div_Sol_Viu,NORTE_SUR,1,0.77,0
4.16,4323.33,45,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,5300.37,43,Div_Sol_Viu,LIMA_CALLAO,2,0.92,0
4.88,7672.95,43,Div_Sol_Viu,LIMA_CALLAO,3,0.13,0
4.16,3739.77,35,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2258.34,37,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,1154.07,44,Cas_Conv,NORTE_SUR,1,1,0
4.88,1023.83,58,Div_Sol_Viu,CENTRO,4,0.12,0
4.16,5714.08,37,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,9093.34,47,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,9856.37,65,Cas_Conv,LIMA_CALLAO,1,1,0
4.88,24465.61,31,Div_Sol_Viu,LIMA_CALLAO,3,0.83,0
4.16,27031.84,49,Cas_Conv,LIMA_CALLAO,3,1,0
4.88,1606.1,20,Div_Sol_Viu,NORTE_SUR,1,0.6,0
4.16,4668.28,37,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,7430.96,64,Cas_Conv,LIMA_CALLAO,1,0.5,0
4.16,28960.67,51,Div_Sol_Viu,LIMA_CALLAO,2,0.99,0
4.16,6188.74,28,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,11227.04,45,Div_Sol_Viu,LIMA_CALLAO,2,0.84,0
4.88,16975.89,57,Cas_Conv,LIMA_CALLAO,1,0.06,0
4.88,1359.89,27,Div_Sol_Viu,LIMA_CALLAO,1,0.23,0
4.88,696.75,27,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,8250.01,41,Div_Sol_Viu,LIMA_CALLAO,2,0.64,0
4.16,671.67,45,Div_Sol_Viu,LIMA_CALLAO,2,0.93,0
4.16,8092.79,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1533.93,38,Div_Sol_Viu,LIMA_CALLAO,3,0.15,0
4.16,4845.42,59,Div_Sol_Viu,LIMA_CALLAO,1,0.42,0
4.16,14445.06,61,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,680.91,25,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,39848.99,38,Div_Sol_Viu,LIMA_CALLAO,1,0.99,0
4.16,2674.06,33,Div_Sol_Viu,LIMA_CALLAO,2,0.91,0
4.16,7897.9,28,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,3473.01,25,Div_Sol_Viu,NORTE_SUR,2,0.83,0
4.16,515.3,27,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,3136.74,45,Cas_Conv,NORTE_SUR,1,0.98,0
4.16,4279.17,31,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,12561.25,57,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,7932.57,51,Div_Sol_Viu,LIMA_CALLAO,2,0.9,0
4.16,5062.71,37,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4216.81,41,Div_Sol_Viu,LIMA_CALLAO,1,0.1,0
4.88,1422.44,59,Div_Sol_Viu,LIMA_CALLAO,3,0.05,0
4.88,1640.57,29,Div_Sol_Viu,NORTE_SUR,2,0.69,0
4.16,29747.44,36,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,65037.45,62,Cas_Conv,LIMA_CALLAO,2,0.97,0
4.88,1928.18,65,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,832.49,33,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,9211.17,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4260.46,50,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,3491.55,34,Div_Sol_Viu,NORTE_SUR,3,0.14,0
4.88,3717.6,37,Div_Sol_Viu,LIMA_CALLAO,2,0.46,0
4.16,9809.41,39,Div_Sol_Viu,NORTE_SUR,1,0.99,0
4.16,1358.08,49,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,3911.31,24,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,777.13,26,Div_Sol_Viu,LIMA_CALLAO,4,0.45,0
4.16,25743.77,49,Cas_Conv,LIMA_CALLAO,2,0.34,0
4.16,8316.88,55,Div_Sol_Viu,LIMA_CALLAO,3,0.94,0
4.88,27283.61,36,Cas_Conv,LIMA_CALLAO,2,0.08,0
4.16,5475.24,31,Cas_Conv,LIMA_CALLAO,1,1,0
4.88,653.51,37,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2247.51,43,Cas_Conv,LIMA_CALLAO,1,0.97,0
4.16,2403.95,44,Cas_Conv,NORTE_SUR,1,0.79,0
4.88,1554.49,28,Div_Sol_Viu,LIMA_CALLAO,2,0.85,0
4.16,7906.57,38,Div_Sol_Viu,LIMA_CALLAO,4,0.29,0
4.16,33609.33,59,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,2643.08,26,Cas_Conv,LIMA_CALLAO,1,1,0
4.88,1726.2,49,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,670.05,20,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,760.25,25,Div_Sol_Viu,NORTE_SUR,1,0.6,0
4.16,32420.34,29,Div_Sol_Viu,LIMA_CALLAO,4,0.9,0
4.16,1003.55,44,Div_Sol_Viu,NORTE_SUR,2,0.79,0
4.16,3744.99,56,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,4678.54,34,Div_Sol_Viu,LIMA_CALLAO,1,0.45,0
4.16,1240.05,42,Cas_Conv,NORTE_SUR,1,0.69,0
4.16,13798.64,32,Cas_Conv,LIMA_CALLAO,3,0.9,0
4.16,3991.8,44,Cas_Conv,LIMA_CALLAO,4,0.95,0
4.88,2320.47,62,Cas_Conv,LIMA_CALLAO,2,0.15,0
4.88,585.35,27,Cas_Conv,NORTE_SUR,2,0.77,0
4.16,3730.54,36,Div_Sol_Viu,NORTE_SUR,3,1,0
4.16,4421.7,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4246.53,42,Div_Sol_Viu,LIMA_CALLAO,1,0.99,0
4.16,5660.44,41,Cas_Conv,LIMA_CALLAO,1,0.79,0
4.16,2065.12,43,Div_Sol_Viu,NORTE_SUR,1,0.99,0
4.88,1862.74,43,Div_Sol_Viu,LIMA_CALLAO,2,0.2,0
4.88,4405.93,46,Cas_Conv,LIMA_CALLAO,1,0.08,0
4.16,4905.47,48,Div_Sol_Viu,LIMA_CALLAO,3,0.38,0
4.16,30224.93,33,Cas_Conv,LIMA_CALLAO,1,0.32,0
4.16,3271.13,25,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,1982.4,49,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,4084.6,51,Div_Sol_Viu,NORTE_SUR,2,1,0
4.88,565.98,23,Div_Sol_Viu,LIMA_CALLAO,2,0.77,0
4.88,2624.37,32,Cas_Conv,LIMA_CALLAO,2,1,0
4.16,650.48,43,Div_Sol_Viu,NORTE_SUR,1,0.46,0
4.88,2795.86,23,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1163.13,22,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,9682.72,62,Cas_Conv,LIMA_CALLAO,1,0.62,0
4.16,18683.22,47,Div_Sol_Viu,LIMA_CALLAO,3,0.8,0
4.88,882.98,23,Div_Sol_Viu,NORTE_SUR,2,0.77,0
4.16,22522.48,40,Div_Sol_Viu,LIMA_CALLAO,4,0.36,0
4.16,1484.84,46,Div_Sol_Viu,NORTE_SUR,2,0.51,0
4.16,12197.73,57,Div_Sol_Viu,LIMA_CALLAO,3,0.82,0
4.16,2812.86,63,Cas_Conv,LIMA_CALLAO,1,1,0
4.88,11742.12,27,Div_Sol_Viu,LIMA_CALLAO,1,0.54,0
4.16,12690.48,46,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,2701.44,39,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,3354.24,27,Div_Sol_Viu,LIMA_CALLAO,2,0.77,0
4.16,6940.16,50,Div_Sol_Viu,NORTE_SUR,2,0.89,0
4.16,7337.4,59,Cas_Conv,LIMA_CALLAO,3,0.61,0
4.88,608.81,30,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,4529.92,40,Div_Sol_Viu,NORTE_SUR,1,1,0
4.88,614.49,37,Cas_Conv,NORTE_SUR,2,0.59,0
4.88,758.81,28,Div_Sol_Viu,NORTE_SUR,1,0.14,0
4.88,3591.15,55,Div_Sol_Viu,LIMA_CALLAO,1,0.96,0
4.88,536.65,27,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,18915.98,59,Cas_Conv,LIMA_CALLAO,2,0.16,0
4.16,15313.41,35,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,1212.94,43,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,6353.49,48,Div_Sol_Viu,LIMA_CALLAO,1,0.61,0
4.16,4132.53,59,Div_Sol_Viu,NORTE_SUR,1,0.99,0
4.16,1952.73,62,Cas_Conv,LIMA_CALLAO,3,0.16,0
4.16,7719.17,36,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,27355.57,43,Div_Sol_Viu,LIMA_CALLAO,3,0.62,0
4.88,1072.63,25,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2417.36,45,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,1207.82,41,Div_Sol_Viu,LIMA_CALLAO,2,0.96,0
4.88,946.77,35,Div_Sol_Viu,LIMA_CALLAO,1,0.54,0
4.16,20337.82,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,2051.03,57,Cas_Conv,NORTE_SUR,2,0.19,0
4.16,79886.86,51,Div_Sol_Viu,LIMA_CALLAO,3,0.94,0
4.16,6176.08,34,Div_Sol_Viu,NORTE_SUR,3,0.26,0
4.16,7468.89,44,Div_Sol_Viu,LIMA_CALLAO,3,0.76,0
4.16,10583.6,32,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1958.65,38,Div_Sol_Viu,CENTRO,2,0.13,0
4.88,966.67,50,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,6251.8,56,Div_Sol_Viu,LIMA_CALLAO,1,0.95,0
4.16,10888.77,35,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1204.4,50,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,4166.01,45,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,13396.98,53,Cas_Conv,LIMA_CALLAO,1,0.14,0
4.16,5702.69,41,Div_Sol_Viu,LIMA_CALLAO,1,0.8,0
4.88,1152.04,27,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,3851.06,33,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,7746.76,25,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,1147.89,20,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,8572.91,50,Div_Sol_Viu,LIMA_CALLAO,3,0.96,0
4.88,2031.46,59,Cas_Conv,NORTE_SUR,2,0.14,0
4.16,12698.03,59,Cas_Conv,LIMA_CALLAO,2,0.3,0
4.88,905.45,38,Div_Sol_Viu,LIMA_CALLAO,3,0.08,0
4.16,14472.43,40,Div_Sol_Viu,LIMA_CALLAO,3,1,0
4.16,10910.21,33,Cas_Conv,LIMA_CALLAO,2,0.32,0
4.16,5269.93,36,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,8968.85,28,Div_Sol_Viu,CENTRO,3,0.44,0
4.88,914.71,40,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,5658.26,31,Div_Sol_Viu,LIMA_CALLAO,1,0.95,0
4.88,3579.54,42,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.88,569.03,22,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2424.75,40,Cas_Conv,NORTE_SUR,1,1,0
4.16,11359.25,44,Cas_Conv,NORTE_SUR,1,0.65,0
4.16,24866.44,33,Div_Sol_Viu,LIMA_CALLAO,3,0.65,0
4.16,49190.85,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,42393.41,33,Cas_Conv,LIMA_CALLAO,3,0.61,0
4.16,2111.49,43,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,12429.83,54,Div_Sol_Viu,LIMA_CALLAO,4,0.86,0
4.88,2170.4,32,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,784.28,42,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,801.5,32,Div_Sol_Viu,LIMA_CALLAO,3,1,0
4.16,2611.54,45,Div_Sol_Viu,LIMA_CALLAO,1,0.8,0
4.88,8774.5,28,Div_Sol_Viu,LIMA_CALLAO,2,0.58,0
4.16,6387.04,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,7568.64,52,Div_Sol_Viu,LIMA_CALLAO,1,0.2,0
4.88,1847.35,40,Div_Sol_Viu,LIMA_CALLAO,1,0.51,0
4.16,10306.97,45,Div_Sol_Viu,LIMA_CALLAO,2,0.17,0
4.16,5698.82,46,Div_Sol_Viu,CENTRO,2,0.92,0
4.88,1063.2,40,Cas_Conv,LIMA_CALLAO,3,0.85,0
4.16,11314.21,48,Div_Sol_Viu,LIMA_CALLAO,1,0.45,0
4.16,2478.53,42,Div_Sol_Viu,LIMA_CALLAO,2,0.27,0
4.88,1439.08,29,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.88,682.68,34,Cas_Conv,NORTE_SUR,2,0.63,0
4.16,3737.74,37,Div_Sol_Viu,LIMA_CALLAO,2,0.77,0
4.16,7703.71,36,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,17544.57,56,Cas_Conv,LIMA_CALLAO,4,0.56,0
4.88,2095.82,31,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,2259.44,24,Div_Sol_Viu,LIMA_CALLAO,2,0.69,0
4.16,12528.72,22,Div_Sol_Viu,LIMA_CALLAO,1,0.42,0
4.16,1689.38,24,Div_Sol_Viu,NORTE_SUR,1,0.99,0
4.88,925.48,37,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,1578.06,37,Div_Sol_Viu,CENTRO,1,0.7,0
4.16,5011.56,44,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,1910.47,37,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.16,1189.05,54,Cas_Conv,NORTE_SUR,1,0.98,0
4.88,1102.74,25,Div_Sol_Viu,LIMA_CALLAO,2,0.53,0
4.88,920.49,44,Cas_Conv,CENTRO,1,1,0
4.16,15901.74,39,Div_Sol_Viu,LIMA_CALLAO,1,0.11,0
4.16,6659.85,61,Div_Sol_Viu,NORTE_SUR,3,0.93,0
4.16,1862.8,44,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.88,14920.09,46,Div_Sol_Viu,LIMA_CALLAO,2,0.54,0
4.88,967.19,28,Div_Sol_Viu,LIMA_CALLAO,2,1,0
4.88,3642.2,41,Cas_Conv,LIMA_CALLAO,2,0.18,0
4.16,51064.51,64,Cas_Conv,LIMA_CALLAO,2,0.86,0
4.88,1394.8,45,Div_Sol_Viu,LIMA_CALLAO,1,0.99,0
4.88,1023.82,25,Div_Sol_Viu,CENTRO,1,1,0
4.16,741.59,37,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,17016.32,27,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,3216.47,33,Cas_Conv,LIMA_CALLAO,1,0.27,0
4.16,3828.86,33,Div_Sol_Viu,LIMA_CALLAO,1,0.99,0
4.16,1531.55,39,Div_Sol_Viu,NORTE_SUR,1,0.99,0
4.16,2595.5,39,Cas_Conv,NORTE_SUR,1,1,0
4.16,26674.26,46,Div_Sol_Viu,LIMA_CALLAO,4,0.97,0
4.16,1784.62,51,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,925.86,25,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,2966.54,54,Div_Sol_Viu,LIMA_CALLAO,2,0.38,0
4.16,10636.15,27,Div_Sol_Viu,LIMA_CALLAO,1,0.94,0
4.16,3874.7,24,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,2073.28,48,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,2451.23,43,Div_Sol_Viu,CENTRO,2,0.46,0
4.16,7793.38,48,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,1075.9,49,Div_Sol_Viu,NORTE_SUR,1,0.65,0
4.16,20754.8,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,25037.77,61,Div_Sol_Viu,LIMA_CALLAO,2,0.54,0
4.88,916.22,45,Cas_Conv,LIMA_CALLAO,2,0.85,0
4.88,797.65,31,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,535.69,23,Div_Sol_Viu,NORTE_SUR,2,1,0
4.16,3359.02,28,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,539.73,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,3169.79,30,Cas_Conv,NORTE_SUR,1,1,0
4.16,13366.22,44,Div_Sol_Viu,LIMA_CALLAO,1,0.23,0
4.16,2885.87,36,Div_Sol_Viu,NORTE_SUR,2,0.73,0
4.88,1071.82,38,Cas_Conv,LIMA_CALLAO,2,0.91,0
4.16,9891.32,43,Cas_Conv,LIMA_CALLAO,1,1,0
4.16,4816.92,44,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.88,893.38,33,Div_Sol_Viu,LIMA_CALLAO,2,0.6,0
4.16,17322.84,40,Div_Sol_Viu,LIMA_CALLAO,1,0.11,0
4.16,26605.91,38,Cas_Conv,LIMA_CALLAO,5,0.65,0
4.16,6705.87,48,Div_Sol_Viu,LIMA_CALLAO,4,0.28,0
4.16,1095.82,39,Div_Sol_Viu,NORTE_SUR,1,1,0
4.16,4339.93,39,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,3865.29,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
4.16,593.1,41,Div_Sol_Viu,LIMA_CALLAO,1,1,0
